approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
BCLAF1,16863,BCLAF1,"somatic: melanoma, SCC; germline: NA",2,FALSE
BCOR,20893,BCOR,"somatic: retinoblastoma, AML, APL (translocation); germline: NA",4,TRUE
BCORL1,25657,BCORL1,"somatic: AML, HNSCC; germline: NA",3,FALSE
BCR,1014,BCR,"somatic: CML, ALL, AML; germline: NA",3,FALSE
BIRC3,591,BIRC3,"somatic: CLL, MALT, MCL, MM; germline: NA",3,FALSE
BIRC6,13516,BIRC6,"somatic: melanoma, gastric adenocarcinoma, lung adenocarcinoma; germline: NA",2,FALSE
BLM,1058,BLM,"somatic: NA; germline: leukaemia, lymphoma, skin squamous cell, other tumour types",3,FALSE
BMP5,1072,BMP5,somatic: melanoma; germline: NA,2,FALSE
BMPR1A,1076,BMPR1A,somatic: NA; germline: gastrointestinal polyps,3,FALSE
BRAF,1097,BRAF,"somatic: melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric; germline: NA",4,TRUE
BRCA1,1100,BRCA1,"somatic: ovarian; germline: breast, ovarian",5,TRUE
BRCA2,1101,BRCA2,"somatic: breast, ovarian, pancreatic; germline: breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",5,TRUE
BRD3,1104,BRD3,somatic: lethal midline carcinoma of young people; germline: NA,3,FALSE
BRD4,13575,BRD4,somatic: lethal midline carcinoma of young people; germline: NA,3,FALSE
BRIP1,20473,BRIP1,"somatic: NA; germline: AML, leukaemia, breast",3,FALSE
BTG1,1130,BTG1,somatic: B-CLL; germline: NA,3,FALSE
BTG2,1131,BTG2,somatic: DLBCL; germline: NA,2,FALSE
BTK,1133,BTK,"somatic: CLL, mantle cell lymphoma, WM; germline: NA",3,FALSE
BUB1B,1149,BUB1B,somatic: NA; germline: rhabdomyosarcoma,3,FALSE
PIERCE2,44654,C15orf65,"somatic: PMBL, Hodgkin lymphoma; germline: NA",2,FALSE
CACNA1D,1391,CACNA1D,somatic: adrenal aldosterone producing adenoma; germline: NA,3,FALSE
CALR,1455,CALR,"somatic: MPN, MDS; germline: NA",4,TRUE
CAMTA1,18806,CAMTA1,somatic: epithelioid haemangioendothelioma; germline: NA,3,FALSE
CANT1,19721,CANT1,somatic: prostate; germline: NA,3,FALSE
CARD11,16393,CARD11,somatic: DLBCL; germline: NA,4,TRUE
CARS1,1493,CARS,somatic: ALCL; germline: NA,3,FALSE
CASP3,1504,CASP3,somatic: ovarian cancer; germline: NA,2,FALSE
CASP8,1509,CASP8,"somatic: hepatocellular, oral squamous cell, breast; germline: NA",3,FALSE
CASP9,1511,CASP9,somatic: glioma; germline: NA,2,FALSE
CBFA2T3,1537,CBFA2T3,somatic: AML; germline: NA,3,FALSE
CBFB,1539,CBFB,somatic: AML; germline: NA,3,FALSE
CBL,1541,CBL,"somatic: AML, JMML, MDS; germline: NA",4,TRUE
CBLB,1542,CBLB,somatic: AML; germline: NA,3,FALSE
CBLC,15961,CBLC,somatic: AML; germline: NA,3,FALSE
CCDC6,18782,CCDC6,"somatic: papillary thyroid, CML, NSCLC; germline: NA",3,FALSE
CCNB1IP1,19437,CCNB1IP1,somatic: leiomyoma; germline: NA,3,FALSE
CCNC,1581,CCNC,somatic: T-ALL; germline: NA,2,FALSE
CCND1,1582,CCND1,"somatic: CLL, B-ALL, breast; germline: NA",3,FALSE
CCND2,1583,CCND2,"somatic: NHL,CLL; germline: NA",3,FALSE
CCND3,1585,CCND3,somatic: MM; germline: NA,3,FALSE
CCNE1,1589,CCNE1,somatic: serous ovarian; germline: NA,3,FALSE
CCR4,1605,CCR4,somatic: adult T-cell leukaemia/lymphoma; germline: NA,2,FALSE
CCR7,1608,CCR7,somatic: adult T-cell leukaemia/lymphoma; germline: NA,2,FALSE
CD209,1641,CD209,somatic: prostate carcinoma; germline: NA,2,FALSE
CD274,17635,CD274,"somatic: PMBL, Hodgkin lymphoma; germline: NA",3,FALSE
CD28,1653,CD28,somatic: T-cell lymphoma; germline: NA,2,FALSE
CD74,1697,CD74,somatic: NSCLC; germline: NA,3,FALSE
CD79A,1698,CD79A,"somatic: DLBCL, WM; germline: NA",3,FALSE
CD79B,1699,CD79B,"somatic: DLBCL, WM; germline: NA",3,FALSE
CDC73,16783,CDC73,"somatic: parathyroid adenoma; germline: parathyroid adenoma, multiple ossifying jaw fibroma",4,TRUE
CDH1,1748,CDH1,"somatic: lobular breast, gastric; germline: gastric",5,TRUE
CDH10,1749,CDH10,somatic: melanoma; germline: pancreatic ductal adenocarcinoma,3,FALSE
CDH11,1750,CDH11,somatic: aneurysmal bone cyst; germline: NA,3,FALSE
CDH17,1756,CDH17,somatic: melanoma; germline: NA,2,FALSE
CDK12,24224,CDK12,somatic: serous ovarian; germline: NA,4,TRUE
CDK4,1773,CDK4,somatic: NA; germline: melanoma,3,FALSE
CDK6,1777,CDK6,somatic: ALL; germline: NA,3,FALSE
CDKN1A,1784,CDKN1A,somatic: bladder cancer; germline: NA,2,FALSE
CDKN1B,1785,CDKN1B,"somatic: breast, small intestine neuroendocrine tumours; germline: pituitary, parathyroid",4,TRUE
CDKN2A,1787,CDKN2A,"somatic: melanoma, multiple other tumour types; germline: melanoma, pancreatic",5,TRUE
CDKN2C,1789,CDKN2C,"somatic: glioma, MM; germline: NA",3,FALSE
CDX2,1806,CDX2,somatic: AML; germline: NA,3,FALSE
CEBPA,1833,CEBPA,"somatic: AML, MDS; germline: NA",4,TRUE
CEP89,25907,CEP89,somatic: Spitzoid tumour; germline: NA,2,FALSE
CHCHD7,28314,CHCHD7,somatic: salivary adenoma; germline: NA,3,FALSE
CHD2,1917,CHD2,"somatic: melanoma, large intestine, CLL, monoclonal B lymphocytosis; germline: NA",2,FALSE
CHD4,1919,CHD4,somatic: uterine serous carcinoma; germline: NA,3,FALSE
CHEK2,16627,CHEK2,somatic: NA; germline: breast,3,FALSE
CHIC2,1935,CHIC2,somatic: AML; germline: NA,2,FALSE
CHST11,17422,CHST11,somatic: B-CLL; germline: NA,2,FALSE
CIC,14214,CIC,"somatic: oligodendroglioma, soft tissue sarcoma; germline: NA",4,TRUE
CIITA,7067,CIITA,"somatic: PMBL, Hodgkin lymphoma; germline: NA",3,FALSE
CLIP1,10461,CLIP1,somatic: Spitzoid tumour; germline: NA,3,FALSE
CLP1,16999,CLP1,somatic: AML; germline: NA,2,FALSE
CLTC,2092,CLTC,"somatic: ALCL, renal; germline: NA",3,FALSE
CLTCL1,2093,CLTCL1,somatic: ALCL; germline: NA,3,FALSE
CNBD1,26663,CNBD1,"somatic: gastric cancer, colon cancer; germline: NA",2,FALSE
CNBP,13164,CNBP,somatic: aneurysmal bone cyst; germline: NA,3,FALSE
CNOT3,7879,CNOT3,somatic: T-ALL; germline: NA,3,FALSE
CNTNAP2,13830,CNTNAP2,"somatic: glioma, melanoma; germline: NA",2,FALSE
CNTRL,1858,CNTRL,"somatic: MPN, NHL; germline: NA",3,FALSE
COL1A1,2197,COL1A1,"somatic: DFSP, aneurysmal bone cyst; germline: NA",3,FALSE
COL2A1,2200,COL2A1,"somatic: chondrosarcoma, enchondroma; germline: NA",3,FALSE
COL3A1,2201,COL3A1,somatic: lipoblastoma; germline: NA,2,FALSE
COX6C,2285,COX6C,somatic: uterine leiomyoma; germline: NA,2,FALSE
CPEB3,21746,CPEB3,somatic: lung cancer; germline: NA,2,FALSE
CREB1,2345,CREB1,"somatic: clear cell sarcoma, angiomatoid fibrous histiocytoma; germline: NA",3,FALSE
CREB3L1,18856,CREB3L1,somatic: myxofibrosarcoma; germline: NA,3,FALSE
CREB3L2,23720,CREB3L2,somatic: fibromyxoid sarcoma; germline: NA,3,FALSE
CREBBP,2348,CREBBP,"somatic: ALL, AML, DLBCL, B-NHL; germline: NA",4,TRUE
CRLF2,14281,CRLF2,"somatic: B-ALL, Downs associated ALL; germline: NA",3,FALSE
CRNKL1,15762,CRNKL1,somatic: base cell carcinoma; germline: NA,2,FALSE
CRTC1,16062,CRTC1,somatic: salivary gland mucoepidermoid; germline: NA,3,FALSE
CRTC3,26148,CRTC3,somatic: salivary gland mucoepidermoid; germline: NA,3,FALSE
CSF1R,2433,CSF1R,"somatic: MDS, CML, AML, hemangioblastoma, CCRCC; germline: NA",2,FALSE
CSF3R,2439,CSF3R,"somatic: aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS; germline: NA",3,FALSE
CSMD3,19291,CSMD3,"somatic: ovarian cancer, oral SCC, lung cancer; germline: NA",2,FALSE
CTCF,13723,CTCF,"somatic: endometrial, breast, head and neck cancer; germline: NA",3,FALSE
CTNNA1,2509,CTNNA1,"somatic: AML, MDS, cutaneous melanoma; germline: gastric cancer",3,FALSE
CTNNA2,2510,CTNNA2,somatic: gastric cancer; germline: NA,2,FALSE
CTNNB1,2514,CTNNB1,"somatic: colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types; germline: NA",4,TRUE
CTNND1,2515,CTNND1,somatic: large intestine carcinoma; germline: NA,2,FALSE
CTNND2,2516,CTNND2,"somatic: prostae adenocarcinoma, GIST; germline: NA",2,FALSE
CUL3,2553,CUL3,somatic: lung cancer; germline: NA,2,FALSE
CUX1,2557,CUX1,"somatic: endometrial, melanoma, colorectal, AML, MDS, other tumour types; germline: NA",3,FALSE
CXCR4,2561,CXCR4,somatic: WM; germline: NA,4,TRUE
CYLD,2584,CYLD,somatic: cylindroma; germline: cylindroma,4,TRUE
CYP2C8,2622,CYP2C8,somatic: melanoma; germline: NA,2,FALSE
CYSLTR2,18274,CYSLTR2,somatic: uveal melanoma; germline: NA,2,FALSE
DAXX,2681,DAXX,"somatic: pancreatic neuroendocrine tumour, paediatric glioblastoma; germline: NA",3,FALSE
DCAF12L2,32950,DCAF12L2,somatic: CRC; germline: NA,2,FALSE
DCC,2701,DCC,"somatic: CRC, melanoma, SCC; germline: NA",2,FALSE
DCTN1,2711,DCTN1,"somatic: inflammatory myofibroblastic tumour, Spitzoid tumour; germline: NA",3,FALSE
DDB2,2718,DDB2,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
DDIT3,2726,DDIT3,somatic: liposarcoma; germline: NA,3,FALSE
DDR2,2731,DDR2,"somatic: squamous cell carcinoma, NSCLC; germline: NA",3,FALSE
DDX10,2735,DDX10,somatic: AML*; germline: NA,3,FALSE
DDX3X,2745,DDX3X,"somatic: CLL, medulloblastoma; germline: NA",3,FALSE
DDX5,2746,DDX5,somatic: prostate; germline: NA,3,FALSE
DDX6,2747,DDX6,somatic: B-NHL; germline: NA,3,FALSE
DEK,2768,DEK,somatic: AML; germline: NA,3,FALSE
DGCR8,2847,DGCR8,somatic: Wilms tumour; germline: NA,2,FALSE
DICER1,17098,DICER1,"somatic: sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types; germline: pleuropulmonary blastoma",5,TRUE
DNAJB1,5270,DNAJB1,somatic: fibrolamellar hepatocellular carcinoma; germline: NA,3,FALSE
DNM2,2974,DNM2,somatic: T-ALL; germline: NA,3,FALSE
DNMT3A,2978,DNMT3A,somatic: AML; germline: NA,4,TRUE
DROSHA,17904,DROSHA,"somatic: Wilms tumour, NSCLC, bladder carcinoma; germline: NA",3,FALSE
DUX4L1,3082,DUX4L1,somatic: soft tissue sarcoma; germline: NA,2,FALSE
EBF1,3126,EBF1,somatic: lipoma; germline: NA,3,FALSE
ECT2L,21118,ECT2L,somatic: ETP ALL; germline: NA,2,FALSE
EED,3188,EED,"somatic: malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma; germline: NA",2,FALSE
EGFR,3236,EGFR,"somatic: glioma, NSCLC; germline: NSCLC",5,TRUE
EIF1AX,3250,EIF1AX,"somatic: uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer; germline: NA",2,FALSE
EIF3E,3277,EIF3E,somatic: colorectal; germline: NA,3,FALSE
EIF4A2,3284,EIF4A2,somatic: NHL; germline: NA,3,FALSE
ELF3,3318,ELF3,somatic: pancreatic cancer; germline: NA,2,FALSE
ELF4,3319,ELF4,somatic: AML; germline: NA,3,FALSE
ELK4,3326,ELK4,somatic: prostate; germline: NA,3,FALSE
ELL,23114,ELL,somatic: AL; germline: NA,3,FALSE
ELN,3327,ELN,somatic: B-ALL; germline: NA,2,FALSE
EML4,1316,EML4,somatic: NSCLC; germline: NA,3,FALSE
EP300,3373,EP300,"somatic: colorectal, breast, pancreatic, AML, ALL, DLBCL; germline: NA",4,TRUE
EPAS1,3374,EPAS1,"somatic: paraganglioma, pheochromocytoma, central nervous system hemangioblastomas; germline: NA",3,FALSE
EPHA3,3387,EPHA3,"somatic: lung cancer, CRC, melanoma; germline: NA",2,FALSE
EPHA7,3390,EPHA7,"somatic: CRC, melanoma; germline: NA",2,FALSE
EPS15,3419,EPS15,somatic: ALL; germline: NA,3,FALSE
ERBB2,3430,ERBB2,"somatic: breast, ovarian, other tumour types, NSCLC, gastric; germline: NA",4,TRUE
ERBB3,3431,ERBB3,"somatic: colon, gastric, head and neck, bladder, skin; germline: NA",4,TRUE
ERBB4,3432,ERBB4,"somatic: melanoma, gastric, NSCLC; germline: NA",5,TRUE
ERC1,17072,ERC1,"somatic: papillary thyroid, Spitzoid tumour; germline: NA",3,FALSE
ERCC2,3434,ERCC2,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
ERCC3,3435,ERCC3,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
ERCC4,3436,ERCC4,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
ERCC5,3437,ERCC5,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
ERG,3446,ERG,"somatic: Ewing sarcoma, prostate, AML; germline: NA",3,FALSE
ESR1,3467,ESR1,somatic: breast; germline: NA,4,TRUE
ETNK1,24649,ETNK1,"somatic: aCML, CMML, SM-AHD, HES; germline: NA",3,FALSE
ETV1,3490,ETV1,"somatic: Ewing sarcoma, prostate; germline: NA",3,FALSE
ETV4,3493,ETV4,"somatic: Ewing sarcoma, prostate carcinoma; germline: NA",3,FALSE
ETV5,3494,ETV5,somatic: prostate; germline: NA,3,FALSE
ETV6,3495,ETV6,"somatic: congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS; germline: NA",3,FALSE
EWSR1,3508,EWSR1,"somatic: Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma; germline: NA",3,FALSE
EXT1,3512,EXT1,"somatic: NA; germline: exostoses, osteosarcoma",3,FALSE
EXT2,3513,EXT2,"somatic: NA; germline: exostoses, osteosarcoma",3,FALSE
EZH2,3527,EZH2,somatic: DLBCL; germline: NA,4,TRUE
EZR,12691,EZR,somatic: NSCLC; germline: NA,3,FALSE
FADD,3573,FADD,"somatic: breast cancer, HNSCC; germline: lymphoma",3,FALSE
FAM131B,22202,FAM131B,somatic: pilocytic astrocytoma; germline: NA,2,FALSE
FAM135B,28029,FAM135B,somatic: SCLC; germline: NA,2,FALSE
FAM47C,25301,FAM47C,"somatic: melanoma, clear cell sarcoma of soft parts, SCLC; germline: NA",2,FALSE
FANCA,3582,FANCA,"somatic: NA; germline: AML, leukaemia",3,FALSE
FANCC,3584,FANCC,"somatic: NA; germline: AML, leukaemia",3,FALSE
FANCD2,3585,FANCD2,"somatic: NA; germline: AML, leukaemia",3,FALSE
FANCE,3586,FANCE,"somatic: NA; germline: AML, leukaemia",3,FALSE
FANCF,3587,FANCF,"somatic: NA; germline: AML, leukaemia",3,FALSE
FANCG,3588,FANCG,"somatic: NA; germline: AML, leukaemia",3,FALSE
FAS,11920,FAS,"somatic: TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related; germline: NA",3,FALSE
FAT1,3595,FAT1,"somatic: oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma; germline: pancreatic",5,TRUE
FAT3,23112,FAT3,"somatic: SCC, colon adenocarcinoma, gastric adenocarcinoma; germline: NA",2,FALSE
FAT4,23109,FAT4,"somatic: lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma; germline: NA",3,FALSE
FBLN2,3601,FBLN2,"somatic: breast cancer, colorectal adenocarcinoma; germline: NA",2,FALSE
FBXO11,13590,FBXO11,somatic: DLBCL; germline: NA,3,FALSE
FBXW7,16712,FBXW7,"somatic: colorectal, endometrial, T-ALL; germline: NA",4,TRUE
FCGR2B,3618,FCGR2B,somatic: ALL; germline: NA,3,FALSE
FCRL4,18507,FCRL4,somatic: B-NHL; germline: NA,3,FALSE
FEN1,3650,FEN1,somatic: NA; germline: breast cancer,2,FALSE
FES,3657,FES,"somatic: HNSCC, ovarian carcinoma; germline: NA",3,FALSE
FEV,18562,FEV,somatic: Ewing sarcoma; germline: NA,3,FALSE
FGFR1,3688,FGFR1,"somatic: MPN, NHL, salivary adenoma; germline: NA",3,FALSE
CEP43,17012,FGFR1OP,"somatic: MPN, NHL; germline: NA",3,FALSE
FGFR2,3689,FGFR2,"somatic: gastric, NSCLC, endometrial; germline: NA",4,TRUE
FGFR3,3690,FGFR3,"somatic: bladder, MM, T-cell lymphoma; germline: NA",4,TRUE
FGFR4,3691,FGFR4,somatic: rhabdomyosarcoma; germline: NA,3,FALSE
FH,3700,FH,"somatic: NA; germline: leiomyomatosis, renal",3,FALSE
FHIT,3701,FHIT,somatic: pleomorphic salivary gland adenoma; germline: NA,3,FALSE
FIP1L1,19124,FIP1L1,somatic: idiopathic hypereosinophilic syndrome; germline: NA,3,FALSE
FKBP9,3725,FKBP9,somatic: glioma; germline: NA,2,FALSE
FLCN,27310,FLCN,"somatic: NA; germline: renal, fibrofolliculomas, trichodiscomas",3,FALSE
FLI1,3749,FLI1,somatic: Ewing sarcoma; germline: NA,3,FALSE
FLNA,3754,FLNA,somatic: phyllodes tumour of the breast; germline: NA,2,FALSE
FLT3,3765,FLT3,"somatic: AML, ALL; germline: NA",4,TRUE
FLT4,3767,FLT4,somatic: soft tissue sarcoma; germline: NA,4,TRUE
FNBP1,17069,FNBP1,somatic: AML; germline: NA,2,FALSE
FOXA1,5021,FOXA1,"somatic: breast, prostate; germline: NA",3,FALSE
FOXL2,1092,FOXL2,somatic: granulosa-cell tumour of the ovary; germline: NA,4,TRUE
FOXO1,3819,FOXO1,somatic: alveolar rhabdomyosarcoma; germline: NA,3,FALSE
FOXO3,3821,FOXO3,somatic: AL; germline: NA,3,FALSE
FOXO4,7139,FOXO4,"somatic: AL, soft tissue sarcoma; germline: NA",3,FALSE
FOXP1,3823,FOXP1,somatic: ALL; germline: NA,3,FALSE
FOXR1,29980,FOXR1,somatic: neuroblastoma; germline: NA,2,FALSE
FSTL3,3973,FSTL3,somatic: B-CLL; germline: NA,3,FALSE
FUBP1,4004,FUBP1,somatic: oligodendroglioma; germline: NA,3,FALSE
FUS,4010,FUS,"somatic: liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma; germline: NA",3,FALSE
GAS7,4169,GAS7,somatic: AML*; germline: NA,3,FALSE
GATA1,4170,GATA1,somatic: megakaryoblastic leukaemia of Downs syndrome; germline: NA,4,TRUE
GATA2,4171,GATA2,somatic: AML (CML blast transformation); germline: NA,3,FALSE
GATA3,4172,GATA3,somatic: breast; germline: NA,4,TRUE
GLI1,4317,GLI1,"somatic: CRC, oesophagus cancer; germline: NA",2,FALSE
GMPS,4378,GMPS,somatic: AML; germline: NA,2,FALSE
GNA11,4379,GNA11,"somatic: uveal melanoma, primary central nervous system melanocytic neoplasms; germline: NA",4,TRUE
GNAQ,4390,GNAQ,"somatic: uveal melanoma, primary central nervous system melanocytic neoplasms; germline: NA",4,TRUE
GNAS,4392,GNAS,"somatic: pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia; germline: NA",4,TRUE
GOLGA5,4428,GOLGA5,"somatic: papillary thyroid, Spitzoid tumour; germline: NA",3,FALSE
GOLPH3,15452,GOLPH3,"somatic: breast cancer, NSCLC, ovarian cancer; germline: NA",2,FALSE
GOPC,17643,GOPC,"somatic: glioblastoma, cholangiocarcinoma, borderline ovarian; germline: NA",3,FALSE
GPC3,4451,GPC3,somatic: NA; germline: Wilms tumour,3,FALSE
GPC5,4453,GPC5,somatic: lung adenocarcinoma; germline: NA,2,FALSE
GPHN,15465,GPHN,somatic: AL; germline: NA,3,FALSE
GRIN2A,4585,GRIN2A,"somatic: melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma; germline: NA",4,TRUE
GRM3,4595,GRM3,"somatic: melanoma, oral SCC; germline: NA",2,FALSE
H3-3A,4764,H3F3A,somatic: glioma; germline: NA,4,TRUE
H3-3B,4765,H3F3B,somatic: chondroblastoma; germline: NA,3,FALSE
HERPUD1,13744,HERPUD1,somatic: prostate; germline: NA,3,FALSE
HEY1,4880,HEY1,somatic: mesenchymal chondrosarcoma; germline: NA,3,FALSE
HIF1A,4910,HIF1A,"somatic: endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic; germline: NA",3,FALSE
HIP1,4913,HIP1,"somatic: CMML, NSCLC; germline: NA",3,FALSE
H3C2,4776,HIST1H3B,somatic: glioma; germline: NA,3,FALSE
H4C9,4793,HIST1H4I,somatic: NHL; germline: NA,3,FALSE
HLA-A,4931,HLA-A,somatic: Spitzoid tumour; germline: NA,3,FALSE
HLF,4977,HLF,somatic: ALL; germline: NA,3,FALSE
HMGA1,5010,HMGA1,"somatic: microfollicular thyroid adenoma, various benign mesenchymal tumours; germline: NA",3,FALSE
