approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
BRCA2,1101,BRCA2,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Breast cancer pertinent cancer susceptibility (id=55, version=2.1) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial breast cancer (id=158, version=1.18) | Familial prostate cancer (id=318, version=1.3) | GI tract tumours (id=254, version=1.22) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Inherited breast cancer and ovarian cancer (id=635, version=2.6) | Inherited non-medullary thyroid cancer (id=171, version=1.5) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Inherited pancreatic cancer (id=524, version=2.1) | Inherited prostate cancer (id=1223, version=1.2) | Ovarian cancer pertinent cancer susceptibility (id=117, version=2.1) | Prostate cancer pertinent cancer susceptibility (id=17, version=1.2) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",20,TRUE
BRIP1,20473,BRIP1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial breast cancer (id=158, version=1.18) | Familial prostate cancer (id=318, version=1.3) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Ovarian cancer pertinent cancer susceptibility (id=117, version=2.1) | Cancer Predisposition_Paediatric (id=152, version=0.128)",12,TRUE
BUB1B,1149,BUB1B,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial rhabdomyosarcoma (id=290, version=1.5) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",7,TRUE
CASR,1514,CASR,"Parathyroid Cancer (id=86, version=1.4)",1,FALSE
CBL,1541,CBL,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Cancer Predisposition_Paediatric (id=152, version=0.128)",6,TRUE
CDC73,16783,CDC73,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Childhood solid tumours (id=243, version=4.2) | Inherited phaeochromocytoma and paraganglioma (id=97, version=1.11) | Multiple endocrine tumours (id=36, version=1.14) | Parathyroid Cancer (id=86, version=1.4) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",8,TRUE
CDH1,1748,CDH1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Breast cancer pertinent cancer susceptibility (id=55, version=2.1) | CDH1-related cancer syndrome (id=1221, version=1.1) | Familial breast cancer (id=158, version=1.18) | GI tract tumours (id=254, version=1.22) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Cancer Predisposition_Paediatric (id=152, version=0.128)",8,TRUE
CDK4,1773,CDK4,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Inherited pancreatic cancer (id=524, version=2.1) | Melanoma pertinent cancer susceptibility (id=133, version=1.0) | Multiple monogenic benign skin tumours (id=558, version=2.2) | Cancer Predisposition_Paediatric (id=152, version=0.128)",6,TRUE
CDKN1B,1785,CDKN1B,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Inherited phaeochromocytoma and paraganglioma (id=97, version=1.11) | Multiple endocrine tumours (id=36, version=1.14) | Neuroendocrine cancer pertinent cancer susceptibility (id=183, version=1.4) | Parathyroid Cancer (id=86, version=1.4) | Thyroid cancer pertinent cancer susceptibility (id=421, version=1.3)",7,TRUE
CDKN1C,1786,CDKN1C,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial rhabdomyosarcoma (id=290, version=1.5) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Wilms tumour with features suggestive of predisposition (id=1108, version=1.1) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",8,TRUE
CDKN2A,1787,CDKN2A,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | GI tract tumours (id=254, version=1.22) | Inherited pancreatic cancer (id=524, version=2.1) | Melanoma pertinent cancer susceptibility (id=133, version=1.0) | Multiple monogenic benign skin tumours (id=558, version=2.2) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
CDKN2B,1788,CDKN2B,"Inherited renal cancer (id=521, version=1.24)",1,TRUE
CEBPA,1833,CEBPA,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Cancer Predisposition_Paediatric (id=152, version=0.128)",3,TRUE
CHEK2,16627,CHEK2,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Familial breast cancer (id=158, version=1.18) | Familial prostate cancer (id=318, version=1.3) | GI tract tumours (id=254, version=1.22) | Inherited breast cancer and ovarian cancer (id=635, version=2.6) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Inherited prostate cancer (id=1223, version=1.2) | Cancer Predisposition_Paediatric (id=152, version=0.128)",9,TRUE
CIB1,16920,CIB1,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
CREBBP,2348,CREBBP,"Familial rhabdomyosarcoma (id=290, version=1.5) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73)",3,FALSE
CSF3R,2439,CSF3R,"Haematological malignancies cancer susceptibility (id=59, version=4.2)",1,FALSE
CTC1,26169,CTC1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",4,TRUE
CTCF,13723,CTCF,"Wilms Tumour Predisposition (id=252, version=0.39)",1,FALSE
CTNNB1,2514,CTNNB1,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
CTR9,16850,CTR9,"Childhood solid tumours (id=243, version=4.2) | Wilms tumour with features suggestive of predisposition (id=1108, version=1.1) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",4,TRUE
CYLD,2584,CYLD,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,TRUE
DDB2,2718,DDB2,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128)",4,TRUE
DDX41,18674,DDX41,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
DGCR8,2847,DGCR8,"Adult solid tumours cancer susceptibility (id=245, version=2.24)",1,FALSE
DICER1,17098,DICER1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial rhabdomyosarcoma (id=290, version=1.5) | Inherited non-medullary thyroid cancer (id=171, version=1.5) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",10,TRUE
DIRAS3,687,DIRAS3,"Inherited non-medullary thyroid cancer (id=171, version=1.5)",1,FALSE
DIS3L2,28648,DIS3L2,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",4,TRUE
DKC1,2890,DKC1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",4,TRUE
DLST,2911,DLST,"Inherited phaeochromocytoma and paraganglioma excluding NF1 (id=649, version=2.1)",1,TRUE
DNAJC21,27030,DNAJC21,"Haematological malignancies cancer susceptibility (id=59, version=4.2)",1,TRUE
DOCK8,19191,DOCK8,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
ELAC2,14198,ELAC2,"Familial prostate cancer (id=318, version=1.3)",1,FALSE
ELANE,3309,ELANE,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
ELOC,11617,ELOC,"Inherited renal cancer (id=521, version=1.24)",1,FALSE
ELP1,5959,ELP1,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128)",3,TRUE
ENG,3349,ENG,"GI tract tumours (id=254, version=1.22)",1,FALSE
EPAS1,3374,EPAS1,"Inherited phaeochromocytoma and paraganglioma excluding NF1 (id=649, version=2.1)",1,TRUE
EPCAM,11529,EPCAM,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Familial breast cancer (id=158, version=1.18) | GI tract tumours (id=254, version=1.22) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1) | Inherited polyposis and early onset colorectal cancer - germline testing (id=504, version=2.4) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
ERCC1,3433,ERCC1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128)",4,TRUE
ERCC2,3434,ERCC2,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128)",5,TRUE
ERCC3,3435,ERCC3,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128)",4,TRUE
ERCC4,3436,ERCC4,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Cancer Predisposition_Paediatric (id=152, version=0.128)",6,TRUE
ERCC5,3437,ERCC5,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128)",4,TRUE
ERCC6L2,26922,ERCC6L2,"Haematological malignancies cancer susceptibility (id=59, version=4.2)",1,TRUE
ESR1,3467,ESR1,"Familial breast cancer (id=158, version=1.18) | Inherited ovarian cancer (without breast cancer) (id=143, version=4.1)",2,FALSE
ETV6,3495,ETV6,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
EXT1,3512,EXT1,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Sarcoma (id=3281, version=0.3)",5,TRUE
EXT2,3513,EXT2,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Sarcoma (id=3281, version=0.3)",5,TRUE
EZH2,3527,EZH2,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24)",2,TRUE
FANCA,3582,FANCA,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCB,3583,FANCB,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0)",6,TRUE
FANCC,3584,FANCC,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128)",8,TRUE
FANCD2,3585,FANCD2,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCE,3586,FANCE,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCF,3587,FANCF,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCG,3588,FANCG,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCI,25568,FANCI,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCL,20748,FANCL,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",7,TRUE
FANCM,23168,FANCM,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Head and neck cancer pertinent cancer susceptibility (id=115, version=1.0) | Cancer Predisposition_Paediatric (id=152, version=0.128)",6,TRUE
FAS,11920,FAS,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
FBXW7,16712,FBXW7,"Childhood solid tumours (id=243, version=4.2) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",3,TRUE
FGF23,3680,FGF23,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
FGFR2,3689,FGFR2,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
FGFR3,3690,FGFR3,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
FH,3700,FH,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Endometrial cancer pertinent cancer susceptibility (id=271, version=1.0) | Inherited phaeochromocytoma and paraganglioma (id=97, version=1.11) | Inherited phaeochromocytoma and paraganglioma excluding NF1 (id=649, version=2.1) | Inherited renal cancer (id=521, version=1.24) | Neuroendocrine cancer pertinent cancer susceptibility (id=183, version=1.4) | Renal cancer pertinent cancer susceptibility (id=154, version=1.2) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Renal cancer (id=3278, version=0.4)",12,TRUE
FLCN,27310,FLCN,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Adult solid tumours for rare disease (id=391, version=1.36) | Inherited renal cancer (id=521, version=1.24) | Multiple monogenic benign skin tumours (id=558, version=2.2) | Renal cancer pertinent cancer susceptibility (id=154, version=1.2) | Renal cancer (id=3278, version=0.4)",6,TRUE
FOXE1,3806,FOXE1,"Inherited non-medullary thyroid cancer (id=171, version=1.5)",1,TRUE
FOXO1,3819,FOXO1,"Familial rhabdomyosarcoma (id=290, version=1.5) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73)",3,FALSE
FOXO3,3821,FOXO3,"GI tract tumours (id=254, version=1.22)",1,FALSE
GALNT3,4125,GALNT3,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
GATA1,4170,GATA1,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
GATA2,4171,GATA2,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16) | Cancer Predisposition_Paediatric (id=152, version=0.128)",3,TRUE
GBA1,4177,GBA,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
GDNF,4232,GDNF,"Inherited phaeochromocytoma and paraganglioma (id=97, version=1.11)",1,FALSE
GLA,4296,GLA,"Multiple monogenic benign skin tumours (id=558, version=2.2)",1,FALSE
GNAS,4392,GNAS,"Inherited non-medullary thyroid cancer (id=171, version=1.5)",1,FALSE
GPC3,4451,GPC3,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128) | Wilms Tumour Predisposition (id=252, version=0.39)",4,TRUE
GPC4,4452,GPC4,"Wilms Tumour Predisposition (id=252, version=0.39)",1,FALSE
GPR161,23694,GPR161,"Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Cancer Predisposition_Paediatric (id=152, version=0.128)",3,TRUE
GREM1,2001,GREM1,"GI tract tumours (id=254, version=1.22) | Inherited polyposis and early onset colorectal cancer - germline testing (id=504, version=2.4)",2,TRUE
H19,4713,H19,"Childhood solid tumours (id=243, version=4.2)",1,FALSE
HABP2,4798,HABP2,"Inherited non-medullary thyroid cancer (id=171, version=1.5)",1,FALSE
HAX1,16915,HAX1,"Haematological malignancies cancer susceptibility (id=59, version=4.2) | Haematological malignancies for rare disease (id=407, version=1.16)",2,TRUE
HOXB13,5112,HOXB13,"Familial prostate cancer (id=318, version=1.3)",1,FALSE
HPLH1,23824,HPLH1,"Haematological malignancies cancer susceptibility (id=59, version=4.2)",1,FALSE
HRAS,5173,HRAS,"Adult solid tumours cancer susceptibility (id=245, version=2.24) | Childhood solid tumours (id=243, version=4.2) | Childhood solid tumours cancer susceptibility (id=259, version=1.24) | Familial rhabdomyosarcoma (id=290, version=1.5) | Multiple monogenic benign skin tumours (id=558, version=2.2) | Sarcoma cancer susceptibility (id=217, version=1.21) | Sarcoma susceptibility (id=734, version=1.73) | Cancer Predisposition_Paediatric (id=152, version=0.128)",8,TRUE
IGF2,5466,IGF2,"Childhood solid tumours (id=243, version=4.2)",1,FALSE
