approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
CD59,1689,CD59,blueprintgenetics_hereditary_cancer,1,FALSE
CD70,11937,CD70,blueprintgenetics_hereditary_cancer; uchicago_comprehensive_hereditary_cancer_panel,2,TRUE
CDAN1,1713,CDAN1,blueprintgenetics_hereditary_cancer,1,FALSE
CDC42,1736,CDC42,blueprintgenetics_hereditary_cancer,1,FALSE
CDC73,16783,CDC73,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,14,TRUE
CDH1,1748,CDH1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
CDIN1,26929,C15ORF41,blueprintgenetics_hereditary_cancer,1,FALSE
CDK4,1773,CDK4,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
CDKN1A,1784,CDKN1A,cegat_tumor_syndromes_panel,1,FALSE
CDKN1B,1785,CDKN1B,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,14,TRUE
CDKN1C,1786,CDKN1C,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,11,TRUE
CDKN2A,1787,CDKN2A,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,16,TRUE
CDKN2B,1788,CDKN2B,cegat_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,2,TRUE
CDKN2C,1789,CDKN2C,cegat_tumor_syndromes_panel,1,FALSE
CEBPA,1833,CEBPA,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; genedx_oncogenedx_custom_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,11,TRUE
CEP57,30794,CEP57,blueprintgenetics_hereditary_cancer; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,2,TRUE
CFTR,1884,CFTR,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
CHEK1,1925,CHEK1,preventiongenetics_cancer_panel,1,FALSE
CHEK2,16627,CHEK2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
CLCN7,2025,CLCN7,blueprintgenetics_hereditary_cancer,1,FALSE
CLPB,30664,CLPB,blueprintgenetics_hereditary_cancer,1,FALSE
CSF2RA,2435,CSF2RA,blueprintgenetics_hereditary_cancer,1,FALSE
CSF3R,2439,CSF3R,blueprintgenetics_hereditary_cancer; uchicago_comprehensive_hereditary_cancer_panel,2,TRUE
CST3,2475,CST3,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
CTC1,26169,CTC1,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; neogenomics_full_comprehensive_cancer_panel_germline,3,TRUE
CTLA4,2505,CTLA4,blueprintgenetics_hereditary_cancer; uchicago_comprehensive_hereditary_cancer_panel,2,TRUE
CTNNA1,2509,CTNNA1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline,13,TRUE
CTPS1,2519,CTPS1,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
CTR9,16850,CTR9,cegat_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,2,TRUE
CTRC,2523,CTRC,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
CTSC,2528,CTSC,blueprintgenetics_hereditary_cancer,1,FALSE
CUBN,2548,CUBN,blueprintgenetics_hereditary_cancer,1,FALSE
CXCR4,2561,CXCR4,blueprintgenetics_hereditary_cancer,1,FALSE
CYB5R3,2873,CYB5R3,blueprintgenetics_hereditary_cancer,1,FALSE
CYCS,19986,CYCS,blueprintgenetics_hereditary_cancer,1,FALSE
CYLD,2584,CYLD,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; preventiongenetics_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,6,TRUE
DDB2,2718,DDB2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,5,TRUE
DDX41,18674,DDX41,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; genedx_oncogenedx_custom_panel; natera_hereditary_cancer_test_comprehensive,7,TRUE
DHFR,2861,DHFR,blueprintgenetics_hereditary_cancer,1,FALSE
DICER1,17098,DICER1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,14,TRUE
DIS3,20604,DIS3,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
DIS3L2,28648,DIS3L2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline,11,TRUE
DKC1,2890,DKC1,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; neogenomics_full_comprehensive_cancer_panel_germline,3,TRUE
DLST,2911,DLST,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; preventiongenetics_cancer_panel,2,TRUE
DNAJC21,27030,DNAJC21,blueprintgenetics_hereditary_cancer,1,FALSE
DNASE2,2960,DNASE2,blueprintgenetics_hereditary_cancer,1,FALSE
DNMT3A,2978,DNMT3A,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
DOCK8,19191,DOCK8,uchicago_comprehensive_hereditary_cancer_panel,1,FALSE
DROSHA,17904,DROSHA,preventiongenetics_cancer_panel,1,FALSE
DTNBP1,17328,DTNBP1,blueprintgenetics_hereditary_cancer,1,FALSE
EFL1,25789,EFL1,blueprintgenetics_hereditary_cancer,1,FALSE
EGFR,3236,EGFR,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; natera_hereditary_cancer_test_comprehensive,11,TRUE
EGLN1,1232,EGLN1,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; neogenomics_full_comprehensive_cancer_panel_germline,5,TRUE
EGLN2,14660,EGLN2,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
ELANE,3309,ELANE,blueprintgenetics_hereditary_cancer,1,FALSE
ELP1,5959,ELP1,mayocliniclabs_xcp_hereditary_expanded_cancer_panel,1,FALSE
EPAS1,3374,EPAS1,blueprintgenetics_hereditary_cancer; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,2,TRUE
EPB41,3377,EPB41,blueprintgenetics_hereditary_cancer,1,FALSE
EPB42,3381,EPB42,blueprintgenetics_hereditary_cancer,1,FALSE
EPCAM,11529,EPCAM,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; invitae_tumor_syndromes_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; myriadgenetics_myrisk_panel; genedx_oncogenedx_custom_panel; arupconsult_hereditary_cancer_panel; cancergeneticslab_hereditary_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,15,TRUE
EPOR,3416,EPOR,blueprintgenetics_hereditary_cancer,1,FALSE
ERBB2,3430,ERBB2,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
ERCC1,3433,ERCC1,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,4,TRUE
ERCC2,3434,ERCC2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,5,TRUE
ERCC3,3435,ERCC3,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,5,TRUE
ERCC4,3436,ERCC4,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,5,TRUE
ERCC5,3437,ERCC5,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; cegat_tumor_syndromes_panel; neogenomics_full_comprehensive_cancer_panel_germline,5,TRUE
ERCC6L2,26922,ERCC6L2,blueprintgenetics_hereditary_cancer; uchicago_comprehensive_hereditary_cancer_panel,2,TRUE
ESR2,3468,ESR2,mgz_erbliche_tumorerkrankungen_umfassende_diagnostik,1,FALSE
ETV6,3495,ETV6,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; uchicago_comprehensive_hereditary_cancer_panel; preventiongenetics_cancer_panel; genedx_oncogenedx_custom_panel,6,TRUE
EXO1,3511,EXO1,blueprintgenetics_hereditary_cancer,1,FALSE
EXT1,3512,EXT1,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,7,TRUE
EXT2,3513,EXT2,blueprintgenetics_hereditary_cancer; centogene_solid_tumor_panel; fulgentgenetics_comprehensivecancer_full; preventiongenetics_cancer_panel; mayocliniclabs_xcp_hereditary_expanded_cancer_panel; neogenomics_full_comprehensive_cancer_panel_germline; natera_hereditary_cancer_test_comprehensive,7,TRUE
EZH2,3527,EZH2,blueprintgenetics_hereditary_cancer; fulgentgenetics_comprehensivecancer_full; mgz_erbliche_tumorerkrankungen_umfassende_diagnostik; neogenomics_full_comprehensive_cancer_panel_germline,4,TRUE
F10,3528,F10,blueprintgenetics_hereditary_cancer,1,FALSE
F11,3529,F11,blueprintgenetics_hereditary_cancer,1,FALSE
F12,3530,F12,blueprintgenetics_hereditary_cancer,1,FALSE
F13A1,3531,F13A1,blueprintgenetics_hereditary_cancer,1,FALSE
F13B,3534,F13B,blueprintgenetics_hereditary_cancer,1,FALSE
F2,3535,F2,blueprintgenetics_hereditary_cancer,1,FALSE
F5,3542,F5,blueprintgenetics_hereditary_cancer,1,FALSE
F7,3544,F7,blueprintgenetics_hereditary_cancer,1,FALSE
F8,3546,F8,blueprintgenetics_hereditary_cancer,1,FALSE
F9,3551,F9,blueprintgenetics_hereditary_cancer,1,FALSE
FADD,3573,FADD,blueprintgenetics_hereditary_cancer,1,FALSE
FAM111B,24200,FAM111B,blueprintgenetics_hereditary_cancer,1,FALSE
